source,target
saragih832,haloJakarta
CauPisangkepo,digembok
Akedeew,digembok
Klintinx2,basuki_btp
ApManan,gerilyapolitik
wahyuxcx16,edwin_stevanus
wahyuxcx16,basuki_btp
AudreyChristabe,digembok
yosephsianturi,basuki_btp
JPagassang,basuki_btp
macjarusdi,digembok
RobertKris20,digembok
Baby_Cindyyy,basuki_btp
wahyuxcx16,edwin_stevanus
wahyuxcx16,sindir
wahyuxcx16,kangdede78
wahyuxcx16,hariadhi
wahyuxcx16,Maya_Rischa
dagadgetboi,digembok
rayenisme,basuki_btp
kerenantouw,basuki_btp
pakNino7476,haloJakarta
pakNino7476,darwistriadi
arhambali,digembok
surodilagan,azkafii
surodilagan,Dahnilanzar
surodilagan,surodilagan
nurxcholis,digembok
airpancoran,Gepeng_Kowi
AndriRagilSapu5,AhokDjarot
pandhuep,basuki_btp
Jenanggulo4,hanif_aufar
Jenanggulo4,AEPishere
Jenanggulo4,triwul82
Jenanggulo4,Takviri
bobbykul13,digembok
SuburBur,shiwie6
jhony2long,basuki_btp
fiorentinasng,basuki_btp
Jenanggulo4,sarmawan
Ivan23683770,basuki_btp
jtsix,digembok
jellymark1,vr46_ck
ApManan,AhokDjarot
widiz66,digembok
halasbudy,kingtimothy666
halasbudy,jokowi
halasbudy,SBYudhoyono
halasbudy,basuki_btp
halasbudy,AgusYudhoyono
e_ferdh,Maya_Rischa
e_ferdh,AgusYudhoyono
SugiAnanta,QueenMariaeva
johnspurba,TeddyGusnaidi
dgonks,digembok
ApManan,AhokDjarot
ApManan,AhokDjarot
ApManan,AhokDjarot
aderifkyhanif,Aryprasetyo85
Artanis_Aiur,digembok
ahmad_1467,suparmanruslan
ApManan,AhokDjarot
ApManan,AhokDjarot
meilaniadesta,Takviri
ApManan,AhokDjarot
PalingKafir,AhokDjarot
Cahyo_S,VeaGy
ApManan,AhokDjarot
ApManan,AhokDjarot
ResthaSelviana,kingtimothy666
ResthaSelviana,jokowi
ResthaSelviana,SBYudhoyono
ResthaSelviana,basuki_btp
ResthaSelviana,AgusYudhoyono
ApManan,AhokDjarot
birojasajaktim,FerryMaitimu
jo_yanna,addiems
ugisugiharto,mbahotong69
ugisugiharto,qitmr
ugisugiharto,hariadhi
ugisugiharto,MasTBP_
ugisugiharto,TNasionalis
ugisugiharto,Takviri
ugisugiharto,TanpaDelusi
ugisugiharto,kangdede78
ugisugiharto,Bijiganja
ugisugiharto,kurawa
ugisugiharto,fariz1234
Hendartr,AhokDjarot
SuburBur,F_Dnino
SuburBur,Takviri
MeinyUmboh,basuki_btp
Hendartr,AhokDjarot
vkalit,Jasimin_clp
Chanhonk,addiems
Hendartr,TheREAL_Abi
SENIku5,ChristineeYws
Inkucing1,addiems
Halimbahabazy,addiems
srihandoko16,digembok
PurworOjek,Takviri
dgonks,AhokDjarot
blesshaicrot,FerryMaitimu
blesshaicrot,AhokDjarot
simarmata26,nanininanina
three_wild,digembok
Hendartr,AhokDjarot
dyan_da,basuki_btp
wildankarim,digembok
abangoneng,mediaumatislam
alisyahjs,basuki_btp
leofian3,AhokDjarot
Chellendah,AnneSerlo
PurworOjek,haloJakarta
stev_ika,digembok
diantama,addiems
asepapit,fariji_lacak
AdhiStanza,basuki_btp
gothemyusuf,digembok
DcEliana,digembok
Leon04099764,AhokDjarot
tini_c3bekasi,VeaGy
pak_kiki,anti_densus88
cilcecilangela,addiems
JozefLie,AhokDjarot
dianPerwirra,kingtimothy666
dianPerwirra,jokowi
dianPerwirra,SBYudhoyono
dianPerwirra,basuki_btp
dianPerwirra,AgusYudhoyono
ginting_jani,AhokDjarot
DeelviMendila,basuki_btp
ws9twitt,TetapAhokDjarot
OnceAlfredo,digembok
cahyaridho_crf,basuki_btp
RiniAdiPutra,anti_densus88
yohandavin,digembok
stephanusn,digembok
Kiaranastiti1,AhokDjarot
melisroso,basuki_btp
Yoginanthabraja,kingtimothy666
Yoginanthabraja,jokowi
Yoginanthabraja,SBYudhoyono
Yoginanthabraja,basuki_btp
Yoginanthabraja,AgusYudhoyono
_____wcb,anti_densus88
budilie2009,Takviri
TanpaDelusi,digembok
ValenSigiro,digembok
anandfirm,basuki_btp
karteen,digembok
chandra12273938,triwul82
YCH7168,ardaCampina
YCH7168,NCI4RI
YCH7168,ulilalbab_hs
YCH7168,basuki_btp
YCH7168,Pakar_Mantan
MonaPad,VeaGy
MonaPad,Jasimin_clp
SylvanaAurora,addiems
f1rmanh,nununsativa
f1rmanh,UmrFaruuq
AlFath50518138,anti_densus88
marsudi_pelo,haloJakarta
Chellendah,martian_arya12r
Chellendah,AhokDjarot
Chellendah,addiems
elfizal,anti_densus88
salammuly109gm1,haloJakarta
eykonugroho,digembok
JayanthiMade,basuki_btp
sony_purba,basuki_btp
murny7,triwul82
paatetwin,basuki_btp
DSihaloho,basuki_btp
murny7,basuki_btp
paatetwin,paatetwin
fajarzerasaifan,digembok
yulih79,demokreatif
yulih79,kurawa
yulih79,demokreatif
ariffebrianRH,kingtimothy666
ariffebrianRH,jokowi
ariffebrianRH,SBYudhoyono
ariffebrianRH,basuki_btp
ariffebrianRH,AgusYudhoyono
natisore,KopiToba
natisore,CNNIndonesia
dedensujana,digembok
BhismaPras,ardaCampina
BhismaPras,NCI4RI
BhismaPras,ulilalbab_hs
BhismaPras,basuki_btp
BhismaPras,Pakar_Mantan
IradibyoRatih,kompascom
arifsuryo_83,anti_densus88
ratnasuryono,digembok
BongSofie,hermanhuang
BongSofie,addiems
BongSofie,addiems
FPurwatmo,Jakarta_Kece
shantiii_1,shantiii_1
shantiii_1,basuki_btp
xoxoromeo1,Takviri
fariz1234,mbahotong69
fariz1234,qitmr
fariz1234,hariadhi
